Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
Mercedes-Benz,Mercedes-Benz,E 400 (convertible),433,20
Mercedes-Benz,Mercedes-Benz,E 400 (coupe),437,20
Mercedes-Benz,Mercedes-Benz,E 400 4MATIC (coupe),442,20
Mercedes-Benz,Mercedes-Benz,E 400 4MATIC (station wagon),468,19
Mercedes-Benz,Mercedes-Benz,E 550 (convertible),518,17
Mercedes-Benz,Mercedes-Benz,E 550 (coupe),505,18
Mercedes-Benz,Mercedes-Benz,G 550,692,13
Mercedes-Benz,Mercedes-Benz,G 550 4x4 (Special Off-Road Model),838,11
Mercedes-Benz,Mercedes-Benz,GLA 250,368,24
Mercedes-Benz,Mercedes-Benz,GLA 250 4MATIC,388,23
Mercedes-Benz,Mercedes-Benz,GLC 300,406,22
Mercedes-Benz,Mercedes-Benz,GLC 300 4MATIC,419,21
Mercedes-Benz,Mercedes-Benz,GLC 300 4MATIC (Coupe),413,22
